id,name,display_name,location_id/id,warehouse_id/id,usage,company_id/id
__setup__.stock_location_grey_shelving,Grey Shelving,Grey Shelving,stock.stock_location_stock,stock.warehouse0,view,base.main_company
__setup__.stock_location_1202_A_1,1202_A_1,Grey Shelving/1202_A_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_A_2,1202_A_2,Grey Shelving/1202_A_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_A_3,1202_A_3,Grey Shelving/1202_A_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_A_4,1202_A_4,Grey Shelving/1202_A_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_B_1,1202_B_1,Grey Shelving/1202_B_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_B_2,1202_B_2,Grey Shelving/1202_B_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_B_3,1202_B_3,Grey Shelving/1202_B_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_B_4,1202_B_4,Grey Shelving/1202_B_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_C_1,1202_C_1,Grey Shelving/1202_C_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_C_2,1202_C_2,Grey Shelving/1202_C_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_C_3,1202_C_3,Grey Shelving/1202_C_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_C_4,1202_C_4,Grey Shelving/1202_C_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_D_1,1202_D_1,Grey Shelving/1202_D_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_D_2,1202_D_2,Grey Shelving/1202_D_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_D_3,1202_D_3,Grey Shelving/1202_D_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_D_4,1202_D_4,Grey Shelving/1202_D_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_E_1,1202_E_1,Grey Shelving/1202_E_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_E_2,1202_E_2,Grey Shelving/1202_E_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_E_3,1202_E_3,Grey Shelving/1202_E_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1202_E_4,1202_E_4,Grey Shelving/1202_E_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_A_1,1302_A_1,Grey Shelving/1302_A_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_A_2,1302_A_2,Grey Shelving/1302_A_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_A_3,1302_A_3,Grey Shelving/1302_A_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_A_4,1302_A_4,Grey Shelving/1302_A_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_B_1,1302_B_1,Grey Shelving/1302_B_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_B_2,1302_B_2,Grey Shelving/1302_B_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_B_3,1302_B_3,Grey Shelving/1302_B_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_B_4,1302_B_4,Grey Shelving/1302_B_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_C_1,1302_C_1,Grey Shelving/1302_C_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_C_2,1302_C_2,Grey Shelving/1302_C_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_C_3,1302_C_3,Grey Shelving/1302_C_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_C_4,1302_C_4,Grey Shelving/1302_C_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_D_1,1302_D_1,Grey Shelving/1302_D_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_D_2,1302_D_2,Grey Shelving/1302_D_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_D_3,1302_D_3,Grey Shelving/1302_D_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_D_4,1302_D_4,Grey Shelving/1302_D_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_E_1,1302_E_1,Grey Shelving/1302_E_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_E_2,1302_E_2,Grey Shelving/1302_E_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_E_3,1302_E_3,Grey Shelving/1302_E_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1302_E_4,1302_E_4,Grey Shelving/1302_E_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1411_A_1,1411_A_1,Grey Shelving/1411_A_1,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1411_A_2,1411_A_2,Grey Shelving/1411_A_2,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1411_A_3,1411_A_3,Grey Shelving/1411_A_3,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1411_A_4,1411_A_4,Grey Shelving/1411_A_4,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
__setup__.stock_location_1411_A_5,1411_A_5,Grey Shelving/1411_A_5,__setup__.stock_location_grey_shelving,stock.warehouse0,internal,base.main_company
